#mean:3866.35 standard variance:1853.34,,,
"#""Time""",Internet traffic data (in bits) from an ISP. Aggregated traffic in the United Kingdom academic network backbone. It was collected between 19 November 2004, at 09:30 hours and 27 January 2005, at 11:11 hours. Data collected at five minute intervals.
2004-11-19 09:30:00,0.524628,,
2004-11-19 09:35:00,0.528141,,
2004-11-19 09:40:00,0.696928,,
2004-11-19 09:45:00,0.955855,,
2004-11-19 09:50:00,0.892626,,
2004-11-19 09:55:00,0.94963,,
2004-11-19 10:00:00,0.800822,,
2004-11-19 10:05:00,0.804295,,
2004-11-19 10:10:00,0.819851,,
2004-11-19 10:15:00,0.829613,,
2004-11-19 10:20:00,0.971218,,
2004-11-19 10:25:00,1.02398,,
2004-11-19 10:30:00,1.09862,,
2004-11-19 10:35:00,1.15818,,
2004-11-19 10:40:00,1.05935,,
2004-11-19 10:45:00,1.07152,,
2004-11-19 10:50:00,1.25115,,
2004-11-19 10:55:00,1.11191,,
2004-11-19 11:00:00,1.07338,,
2004-11-19 11:05:00,1.07904,,
2004-11-19 11:10:00,1.1001,,
2004-11-19 11:15:00,1.06971,,
2004-11-19 11:20:00,1.16024,,
2004-11-19 11:25:00,1.11704,,
2004-11-19 11:30:00,1.24281,,
2004-11-19 11:35:00,1.32022,,
2004-11-19 11:40:00,1.29409,,
2004-11-19 11:45:00,1.35944,,
2004-11-19 11:50:00,1.40919,,
2004-11-19 11:55:00,1.43416,,
2004-11-19 12:00:00,1.48587,,
2004-11-19 12:05:00,1.38779,,
2004-11-19 12:10:00,1.42829,,
2004-11-19 12:15:00,1.39031,,
2004-11-19 12:20:00,1.43786,,
2004-11-19 12:25:00,1.4594,,
2004-11-19 12:30:00,1.44556,,
2004-11-19 12:35:00,1.37731,,
2004-11-19 12:40:00,1.52564,,
2004-11-19 12:45:00,1.47591,,
2004-11-19 12:50:00,1.43445,,
2004-11-19 12:55:00,1.39234,,
2004-11-19 13:00:00,1.44822,,
2004-11-19 13:05:00,1.2934,,
2004-11-19 13:10:00,1.32154,,
2004-11-19 13:15:00,1.31294,,
2004-11-19 13:20:00,1.32264,,
2004-11-19 13:25:00,1.3467,,
2004-11-19 13:30:00,1.50968,,
2004-11-19 13:35:00,1.38734,,
2004-11-19 13:40:00,1.47193,,
2004-11-19 13:45:00,1.44432,,
2004-11-19 13:50:00,1.45231,,
2004-11-19 13:55:00,1.46187,,
2004-11-19 14:00:00,1.50418,,
2004-11-19 14:05:00,1.4494,,
2004-11-19 14:10:00,1.59058,,
2004-11-19 14:15:00,1.53665,,
2004-11-19 14:20:00,1.652,,
2004-11-19 14:25:00,1.5961,,
2004-11-19 14:30:00,1.6509,,
2004-11-19 14:35:00,1.64743,,
2004-11-19 14:40:00,1.72424,,
2004-11-19 14:45:00,1.61646,,
2004-11-19 14:50:00,1.62618,,
2004-11-19 14:55:00,1.55409,,
2004-11-19 15:00:00,1.53929,,
2004-11-19 15:05:00,1.51428,,
2004-11-19 15:10:00,1.52973,,
2004-11-19 15:15:00,1.45477,,
2004-11-19 15:20:00,1.43004,,
2004-11-19 15:25:00,1.43945,,
2004-11-19 15:30:00,1.49901,,
2004-11-19 15:35:00,1.42395,,
2004-11-19 15:40:00,1.45513,,
2004-11-19 15:45:00,1.33454,,
2004-11-19 15:50:00,1.30999,,
2004-11-19 15:55:00,1.35717,,
2004-11-19 16:00:00,1.33282,,
2004-11-19 16:05:00,1.24022,,
2004-11-19 16:10:00,1.15783,,
2004-11-19 16:15:00,1.14378,,
2004-11-19 16:20:00,1.18486,,
2004-11-19 16:25:00,1.11714,,
2004-11-19 16:30:00,1.08521,,
2004-11-19 16:35:00,1.09498,,
2004-11-19 16:40:00,1.00144,,
2004-11-19 16:45:00,1.03825,,
2004-11-19 16:50:00,0.991373,,
2004-11-19 16:55:00,0.922947,,
2004-11-19 17:00:00,0.891988,,
2004-11-19 17:05:00,0.846773,,
2004-11-19 17:10:00,0.872097,,
2004-11-19 17:15:00,0.805679,,
2004-11-19 17:20:00,0.808902,,
2004-11-19 17:25:00,0.721501,,
2004-11-19 17:30:00,0.713917,,
2004-11-19 17:35:00,0.619072,,
2004-11-19 17:40:00,0.619733,,
2004-11-19 17:45:00,0.631375,,
2004-11-19 17:50:00,0.623864,,
2004-11-19 17:55:00,0.608702,,
2004-11-19 18:00:00,0.621581,,
2004-11-19 18:05:00,0.568357,,
2004-11-19 18:10:00,0.530923,,
2004-11-19 18:15:00,0.521603,,
2004-11-19 18:20:00,0.466276,,
2004-11-19 18:25:00,0.52247,,
2004-11-19 18:30:00,0.504117,,
2004-11-19 18:35:00,0.44862,,
2004-11-19 18:40:00,0.476861,,
2004-11-19 18:45:00,0.4162,,
2004-11-19 18:50:00,0.440952,,
2004-11-19 18:55:00,0.388983,,
2004-11-19 19:00:00,0.360351,,
2004-11-19 19:05:00,0.320852,,
2004-11-19 19:10:00,0.370516,,
2004-11-19 19:15:00,0.333585,,
2004-11-19 19:20:00,0.322727,,
2004-11-19 19:25:00,0.274176,,
2004-11-19 19:30:00,0.320977,,
2004-11-19 19:35:00,0.282892,,
2004-11-19 19:40:00,0.261371,,
2004-11-19 19:45:00,0.315284,,
2004-11-19 19:50:00,0.27303,,
2004-11-19 19:55:00,0.232792,,
2004-11-19 20:00:00,0.325193,,
2004-11-19 20:05:00,0.357968,,
2004-11-19 20:10:00,0.346766,,
2004-11-19 20:15:00,0.280025,,
2004-11-19 20:20:00,0.246606,,
2004-11-19 20:25:00,0.282974,,
2004-11-19 20:30:00,0.29821,,
2004-11-19 20:35:00,0.227413,,
2004-11-19 20:40:00,0.189425,,
2004-11-19 20:45:00,0.160828,,
2004-11-19 20:50:00,0.160283,,
2004-11-19 20:55:00,0.191413,,
2004-11-19 21:00:00,0.185835,,
2004-11-19 21:05:00,0.206167,,
2004-11-19 21:10:00,0.227654,,
2004-11-19 21:15:00,0.207917,,
2004-11-19 21:20:00,0.157014,,
2004-11-19 21:25:00,0.161285,,
2004-11-19 21:30:00,0.10951,,
2004-11-19 21:35:00,0.101354,,
2004-11-19 21:40:00,0.123011,,
2004-11-19 21:45:00,0.0913788,,
2004-11-19 21:50:00,0.0334788,,
2004-11-19 21:55:00,0.0363737,,
2004-11-19 22:00:00,0.0480609,,
2004-11-19 22:05:00,0.0395597,,
2004-11-19 22:10:00,-0.00259231,,
2004-11-19 22:15:00,-0.040278,,
2004-11-19 22:20:00,-0.012944,,
2004-11-19 22:25:00,0.0548683,,
2004-11-19 22:30:00,0.0382895,,
2004-11-19 22:35:00,-0.0327453,,
2004-11-19 22:40:00,-0.0566811,,
2004-11-19 22:45:00,-0.0361291,,
2004-11-19 22:50:00,-0.0635611,,
2004-11-19 22:55:00,-0.109777,,
2004-11-19 23:00:00,-0.106355,,
2004-11-19 23:05:00,-0.0797985,,
2004-11-19 23:10:00,-0.0303034,,
2004-11-19 23:15:00,-0.0237955,,
2004-11-19 23:20:00,-0.0473395,,
2004-11-19 23:25:00,0.00373271,,
2004-11-19 23:30:00,0.0358317,,
2004-11-19 23:35:00,-0.0318918,,
2004-11-19 23:40:00,0.0193072,,
2004-11-19 23:45:00,0.0911795,,
2004-11-19 23:50:00,0.120369,,
2004-11-19 23:55:00,0.123516,,
2004-11-20 00:00:00,0.141909,,
2004-11-20 00:05:00,0.135156,,
2004-11-20 00:10:00,0.167202,,
2004-11-20 00:15:00,0.156117,,
2004-11-20 00:20:00,0.127875,,
2004-11-20 00:25:00,0.101268,,
2004-11-20 00:30:00,0.143496,,
2004-11-20 00:35:00,0.111243,,
2004-11-20 00:40:00,0.0867569,,
2004-11-20 00:45:00,0.065394,,
2004-11-20 00:50:00,0.0831018,,
2004-11-20 00:55:00,0.0982976,,
2004-11-20 01:00:00,0.120592,,
2004-11-20 01:05:00,0.124164,,
2004-11-20 01:10:00,0.125109,,
2004-11-20 01:15:00,0.0902266,,
2004-11-20 01:20:00,0.0709402,,
2004-11-20 01:25:00,0.0645193,,
2004-11-20 01:30:00,0.0328014,,
2004-11-20 01:35:00,-0.0117115,,
2004-11-20 01:40:00,-0.0039467,,
2004-11-20 01:45:00,-0.01467,,
2004-11-20 01:50:00,-0.0354526,,
2004-11-20 01:55:00,-0.0587338,,
2004-11-20 02:00:00,-0.0433598,,
2004-11-20 02:05:00,-0.0831681,,
2004-11-20 02:10:00,-0.0552259,,
2004-11-20 02:15:00,-0.119534,,
2004-11-20 02:20:00,-0.107969,,
2004-11-20 02:25:00,-0.103006,,
2004-11-20 02:30:00,-0.100751,,
2004-11-20 02:35:00,-0.0963404,,
2004-11-20 02:40:00,-0.11199,,
2004-11-20 02:45:00,-0.164155,,
2004-11-20 02:50:00,-0.197175,,
2004-11-20 02:55:00,-0.208659,,
2004-11-20 03:00:00,-0.224896,,
2004-11-20 03:05:00,-0.261474,,
2004-11-20 03:10:00,-0.219129,,
2004-11-20 03:15:00,-0.236821,,
2004-11-20 03:20:00,-0.227392,,
2004-11-20 03:25:00,-0.236804,,
2004-11-20 03:30:00,-0.232271,,
2004-11-20 03:35:00,-0.296866,,
2004-11-20 03:40:00,-0.337038,,
2004-11-20 03:45:00,-0.364818,,
2004-11-20 03:50:00,-0.323162,,
2004-11-20 03:55:00,-0.369384,,
2004-11-20 04:00:00,-0.398812,,
2004-11-20 04:05:00,-0.421721,,
2004-11-20 04:10:00,-0.346394,,
2004-11-20 04:15:00,-0.403983,,
2004-11-20 04:20:00,-0.424908,,
2004-11-20 04:25:00,-0.457665,,
2004-11-20 04:30:00,-0.42073,,
2004-11-20 04:35:00,-0.463846,,
2004-11-20 04:40:00,-0.49299,,
2004-11-20 04:45:00,-0.524085,,
2004-11-20 04:50:00,-0.541975,,
2004-11-20 04:55:00,-0.568782,,
2004-11-20 05:00:00,-0.568558,,
2004-11-20 05:05:00,-0.592886,,
2004-11-20 05:10:00,-0.500168,,
2004-11-20 05:15:00,-0.54394,,
2004-11-20 05:20:00,-0.549624,,
2004-11-20 05:25:00,-0.556534,,
2004-11-20 05:30:00,-0.53896,,
2004-11-20 05:35:00,-0.571336,,
2004-11-20 05:40:00,-0.591686,,
2004-11-20 05:45:00,-0.631968,,
2004-11-20 05:50:00,-0.614804,,
2004-11-20 05:55:00,-0.624159,,
2004-11-20 06:00:00,-0.630319,,
2004-11-20 06:05:00,-0.63687,,
2004-11-20 06:10:00,-0.585536,,
2004-11-20 06:15:00,-0.60298,,
2004-11-20 06:20:00,-0.631469,,
2004-11-20 06:25:00,-0.612253,,
2004-11-20 06:30:00,-0.5973,,
2004-11-20 06:35:00,-0.615996,,
2004-11-20 06:40:00,-0.585437,,
2004-11-20 06:45:00,-0.619388,,
2004-11-20 06:50:00,-0.623413,,
2004-11-20 06:55:00,-0.638447,,
2004-11-20 07:00:00,-0.646813,,
2004-11-20 07:05:00,-0.660595,,
2004-11-20 07:10:00,-0.630526,,
2004-11-20 07:15:00,-0.646895,,
2004-11-20 07:20:00,-0.657198,,
2004-11-20 07:25:00,-0.655616,,
2004-11-20 07:30:00,-0.65947,,
2004-11-20 07:35:00,-0.697404,,
2004-11-20 07:40:00,-0.704318,,
2004-11-20 07:45:00,-0.723667,,
2004-11-20 07:50:00,-0.729834,,
2004-11-20 07:55:00,-0.710233,,
2004-11-20 08:00:00,-0.697471,,
2004-11-20 08:05:00,-0.67111,,
2004-11-20 08:10:00,-0.599085,,
2004-11-20 08:15:00,-0.605546,,
2004-11-20 08:20:00,-0.60342,,
2004-11-20 08:25:00,-0.583606,,
2004-11-20 08:30:00,-0.572335,,
2004-11-20 08:35:00,-0.612387,,
2004-11-20 08:40:00,-0.607784,,
2004-11-20 08:45:00,-0.629342,,
2004-11-20 08:50:00,-0.624665,,
2004-11-20 08:55:00,-0.618605,,
2004-11-20 09:00:00,-0.582299,,
2004-11-20 09:05:00,-0.588645,,
2004-11-20 09:10:00,-0.531311,,
2004-11-20 09:15:00,-0.491087,,
2004-11-20 09:20:00,-0.508446,,
2004-11-20 09:25:00,-0.51396,,
2004-11-20 09:30:00,-0.478404,,
2004-11-20 09:35:00,-0.485359,,
2004-11-20 09:40:00,-0.449452,,
2004-11-20 09:45:00,-0.463427,,
2004-11-20 09:50:00,-0.436799,,
2004-11-20 09:55:00,-0.415812,,
2004-11-20 10:00:00,-0.372781,,
2004-11-20 10:05:00,-0.400928,,
2004-11-20 10:10:00,-0.32281,,
2004-11-20 10:15:00,-0.326928,,
2004-11-20 10:20:00,-0.322949,,
2004-11-20 10:25:00,-0.31211,,
2004-11-20 10:30:00,-0.269235,,
2004-11-20 10:35:00,-0.279801,,
2004-11-20 10:40:00,-0.258222,,
2004-11-20 10:45:00,-0.239533,,
2004-11-20 10:50:00,-0.23299,,
2004-11-20 10:55:00,-0.236686,,
2004-11-20 11:00:00,-0.197544,,
2004-11-20 11:05:00,-0.223327,,
2004-11-20 11:10:00,-0.198555,,
2004-11-20 11:15:00,-0.178478,,
2004-11-20 11:20:00,-0.107242,,
2004-11-20 11:25:00,-0.0914971,,
2004-11-20 11:30:00,-0.0560474,,
2004-11-20 11:35:00,-0.0112085,,
2004-11-20 11:40:00,-0.0429741,,
2004-11-20 11:45:00,-0.0161374,,
2004-11-20 11:50:00,-0.03419,,
2004-11-20 11:55:00,-0.0346601,,
2004-11-20 12:00:00,-0.0738421,,
2004-11-20 12:05:00,-0.0872231,,
2004-11-20 12:10:00,-0.0809382,,
2004-11-20 12:15:00,-0.240047,,
2004-11-20 12:20:00,-0.25099,,
2004-11-20 12:25:00,-0.212032,,
2004-11-20 12:30:00,-0.168113,,
2004-11-20 12:35:00,-0.152765,,
2004-11-20 12:40:00,-0.113697,,
2004-11-20 12:45:00,-0.169252,,
2004-11-20 12:50:00,-0.138989,,
2004-11-20 12:55:00,-0.0849972,,
2004-11-20 13:00:00,-0.123678,,
2004-11-20 13:05:00,-0.149766,,
2004-11-20 13:10:00,-0.0491304,,
2004-11-20 13:15:00,-0.09945,,
2004-11-20 13:20:00,-0.0988033,,
2004-11-20 13:25:00,-0.0500573,,
2004-11-20 13:30:00,-0.0438702,,
2004-11-20 13:35:00,-0.0843043,,
2004-11-20 13:40:00,-0.0685305,,
2004-11-20 13:45:00,-0.13839,,
2004-11-20 13:50:00,-0.0885343,,
2004-11-20 13:55:00,-0.0116447,,
2004-11-20 14:00:00,0.081726,,
2004-11-20 14:05:00,0.0462951,,
2004-11-20 14:10:00,0.0910241,,
2004-11-20 14:15:00,0.0390606,,
2004-11-20 14:20:00,0.0646627,,
2004-11-20 14:25:00,0.113004,,
2004-11-20 14:30:00,0.174526,,
2004-11-20 14:35:00,0.185316,,
2004-11-20 14:40:00,0.205742,,
2004-11-20 14:45:00,0.152998,,
2004-11-20 14:50:00,0.102997,,
2004-11-20 14:55:00,0.0871762,,
2004-11-20 15:00:00,0.0572119,,
2004-11-20 15:05:00,0.091617,,
2004-11-20 15:10:00,0.132306,,
2004-11-20 15:15:00,0.112768,,
2004-11-20 15:20:00,0.083463,,
2004-11-20 15:25:00,0.116008,,
2004-11-20 15:30:00,0.206286,,
2004-11-20 15:35:00,0.186534,,
2004-11-20 15:40:00,0.204118,,
2004-11-20 15:45:00,0.174688,,
2004-11-20 15:50:00,0.186323,,
2004-11-20 15:55:00,0.164828,,
2004-11-20 16:00:00,0.20021,,
2004-11-20 16:05:00,0.12864,,
2004-11-20 16:10:00,0.150818,,
2004-11-20 16:15:00,0.25181,,
2004-11-20 16:20:00,0.248977,,
2004-11-20 16:25:00,0.22532,,
2004-11-20 16:30:00,0.227129,,
2004-11-20 16:35:00,0.17262,,
2004-11-20 16:40:00,0.160162,,
2004-11-20 16:45:00,0.197915,,
2004-11-20 16:50:00,0.168448,,
2004-11-20 16:55:00,0.1265,,
2004-11-20 17:00:00,0.119034,,
2004-11-20 17:05:00,0.0432672,,
2004-11-20 17:10:00,0.0718041,,
2004-11-20 17:15:00,0.0641101,,
2004-11-20 17:20:00,0.0410915,,
2004-11-20 17:25:00,0.0600888,,
2004-11-20 17:30:00,0.0954284,,
2004-11-20 17:35:00,0.0554495,,
2004-11-20 17:40:00,0.0799051,,
2004-11-20 17:45:00,0.039451,,
2004-11-20 17:50:00,0.0396118,,
2004-11-20 17:55:00,0.0290705,,
2004-11-20 18:00:00,0.0281155,,
2004-11-20 18:05:00,-0.0403978,,
2004-11-20 18:10:00,0.0193135,,
2004-11-20 18:15:00,0.0246269,,
2004-11-20 18:20:00,0.0716436,,
2004-11-20 18:25:00,0.0783367,,
2004-11-20 18:30:00,0.113096,,
2004-11-20 18:35:00,0.0893482,,
2004-11-20 18:40:00,0.138282,,
2004-11-20 18:45:00,0.0920999,,
2004-11-20 18:50:00,0.0428764,,
2004-11-20 18:55:00,-0.0183231,,
2004-11-20 19:00:00,0.00364118,,
2004-11-20 19:05:00,0.014968,,
2004-11-20 19:10:00,0.141887,,
2004-11-20 19:15:00,0.0934148,,
2004-11-20 19:20:00,0.0668243,,
2004-11-20 19:25:00,0.0533672,,
2004-11-20 19:30:00,0.105818,,
2004-11-20 19:35:00,0.0756441,,
2004-11-20 19:40:00,0.108389,,
2004-11-20 19:45:00,0.0530519,,
2004-11-20 19:50:00,0.0427237,,
2004-11-20 19:55:00,0.0411806,,
2004-11-20 20:00:00,0.0546966,,
2004-11-20 20:05:00,0.02529,,
2004-11-20 20:10:00,0.0363295,,
2004-11-20 20:15:00,-0.0120192,,
2004-11-20 20:20:00,-0.0394534,,
2004-11-20 20:25:00,0.00284739,,
2004-11-20 20:30:00,0.0236164,,
2004-11-20 20:35:00,0.0125752,,
2004-11-20 20:40:00,0.029863,,
2004-11-20 20:45:00,-0.0138567,,
2004-11-20 20:50:00,0.0362107,,
2004-11-20 20:55:00,-9.11134e-05,,
2004-11-20 21:00:00,-0.0217102,,
